round,candidate_id,S,C,L,Q_raw,Q_rel,on_frontier,selected
1,deepseek_v3_2_exp/executor_plus_verifier,0.3487,0.070167,45.058,0.3487,0.0,1,1
1,deepseek_r1_32b/direct,0.1651,0.0,12.265,0.1651,0.0,1,0
1,qwen_32b/direct,0.3141,0.031257,7.549,0.3141,0.0,1,0
1,deepseek_v3_2_exp/direct,0.3698,0.001378,15.874,0.3698,0.0,1,0
1,deepseek_r1_32b/direct,0.3167,0.031671,7.654,0.3167,0.0,1,0
1,qwen_32b/executor_plus_verifier,0.3238,0.025878,14.085,0.3238,0.0,1,0
1,step_3_5_flash/executor_plus_verifier,0.2598,0.0,27.708,0.2598,0.0,1,0
1,qwen_32b/executor_plus_verifier,0.2012,0.0,14.115,0.2012,0.0,1,0
1,deepseek_v3_2_exp/direct,0.1246,0.0,8.22,0.1246,0.0,1,0
1,qwen_7b/direct,0.2348,0.000268,16.082,0.2348,0.0,1,0
1,deepseek_r1_32b/executor_verifier_agg,0.34,0.051342,82.751,0.34,0.0,1,0
1,deepseek_v3_2_exp/executor_verifier_agg,0.3565,0.08301,64.883,0.3565,0.0,1,0
1,qwen_vl_30b/executor_verifier_agg,0.3438,0.051721,130.409,0.3438,0.0,1,0
1,qwen_14b/direct,0.297,0.001135,5.221,0.297,0.0,1,0
1,step_3_5_flash/direct,0.2829,0.001537,4.065,0.2829,0.0,1,0
1,kimi_k2_5/executor_plus_verifier,0.3106,0.213844,51.629,0.3106,0.0,1,0
2,qwen_7b/direct,0.2361,0.008651,16.425,0.2361,0.4707,1,0
2,qwen_14b/direct,0.3003,0.010294,5.386,0.3003,0.7354,1,0
2,qwen_14b/executor_plus_verifier,0.3082,0.018364,10.13,0.3082,0.7679,1,0
2,qwen_14b/executor_plus_verifier,0.1649,0.0,30.233,0.1649,0.1772,1,0
2,qwen_32b/direct,0.3013,0.015721,7.971,0.3013,0.7394,1,0
2,qwen_32b/executor_plus_verifier,0.3227,0.012106,14.547,0.3227,0.8279,1,0
2,qwen_32b/executor_plus_verifier,0.2005,0.008102,14.812,0.2005,0.3239,1,0
2,qwen_397b/direct,0.3418,0.021043,24.968,0.3418,0.9065,1,0
2,qwen_vl_30b/executor_verifier_agg,0.344,0.035974,130.353,0.344,0.9155,1,0
2,qwen_vl_30b/direct,0.1899,0.001075,39.744,0.1899,0.2801,1,0
2,deepseek_v3_2_exp/direct,0.3645,0.02172,15.87,0.3645,1.0,1,1
2,deepseek_v3_2_exp/executor_plus_verifier,0.3469,0.058318,45.377,0.3469,0.9276,1,0
2,deepseek_v3_2_exp/executor_verifier_agg,0.3586,0.074642,64.897,0.3586,0.9757,1,0
2,deepseek_v3_2_exp/direct,0.1219,0.0,8.531,0.1219,0.0,1,0
2,deepseek_r1_32b/direct,0.3236,0.021545,8.05,0.3236,0.8314,1,0
2,deepseek_r1_32b/executor_verifier_agg,0.3401,0.035096,82.898,0.3401,0.8996,1,0
2,kimi_k2_5/executor_plus_verifier,0.3132,0.218363,51.754,0.3132,0.7887,1,0
2,step_3_5_flash/direct,0.2639,0.034914,4.736,0.2639,0.5854,1,0
3,qwen_7b/direct,0.232,0.006148,15.893,0.232,0.4756,1,0
3,qwen_7b/direct,0.2149,0.006817,5.837,0.2149,0.4057,1,0
